model,arch,matrix,shape,n_bits,cosine,mse
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.attention.query_key_value.weight,"(2304, 768)",8,0.9994114945166834,9.573761e-06
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.attention.query_key_value.weight,"(2304, 768)",6,0.9902584139859191,0.00015833977
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.attention.query_key_value.weight,"(2304, 768)",5,0.9607121407828985,0.00067295984
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.attention.query_key_value.weight,"(2304, 768)",4,0.8546110072966989,0.0026575625
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.attention.query_key_value.weight,"(2304, 768)",3,0.5040863154797567,0.006627505
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.attention.query_key_value.weight,"(2304, 768)",2,0.044025237061017464,0.008088093
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.attention.dense.weight,"(768, 768)",8,0.9995102081843308,2.626805e-06
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.attention.dense.weight,"(768, 768)",6,0.9920067412491108,4.3953e-05
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.attention.dense.weight,"(768, 768)",5,0.9660862173965847,0.0001886132
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.attention.dense.weight,"(768, 768)",4,0.8672131458381723,0.00085083226
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.attention.dense.weight,"(768, 768)",3,0.44380641552423367,0.00238326
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.attention.dense.weight,"(768, 768)",2,0.09622497292372524,0.0026551608
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,"(3072, 768)",8,0.9999283180128189,8.480079e-07
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,"(3072, 768)",6,0.9988837830576778,1.4309328e-05
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,"(3072, 768)",5,0.9951621061939513,6.136654e-05
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,"(3072, 768)",4,0.9784631728930394,0.000276715
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,"(3072, 768)",3,0.896713487449709,0.0015258725
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.mlp.dense_h_to_4h.weight,"(3072, 768)",2,0.30518192015624535,0.0060950276
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,"(768, 3072)",8,0.9995915198500632,8.468643e-06
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,"(768, 3072)",6,0.9931431806403122,0.00014381944
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,"(768, 3072)",5,0.9714970369813123,0.0006220915
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,"(768, 3072)",4,0.8832767207784568,0.0028334241
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,"(768, 3072)",3,0.47310221282976866,0.009328489
EleutherAI/pythia-160m,transformer,gpt_neox.layers.0.mlp.dense_4h_to_h.weight,"(768, 3072)",2,0.023546586274025706,0.010474727
EleutherAI/pythia-160m,transformer,gpt_neox.layers.1.attention.query_key_value.weight,"(2304, 768)",8,0.999706293710754,4.50693e-06
EleutherAI/pythia-160m,transformer,gpt_neox.layers.1.attention.query_key_value.weight,"(2304, 768)",6,0.9950456494000609,7.5190765e-05
EleutherAI/pythia-160m,transformer,gpt_neox.layers.1.attention.query_key_value.weight,"(2304, 768)",5,0.9790631379704124,0.00032028402
EleutherAI/pythia-160m,transformer,gpt_neox.layers.1.attention.query_key_value.weight,"(2304, 768)",4,0.9124078622912979,0.0014227796
